context,mean_arrival_time,mean_service_time,sent_time,service_time
1.0,3200.0,1600.0,108264800.0,1600.0
0.0,3200.0,1600.0,108265360.0,1600.0
1.0,3200.0,1600.0,108267460.0,1600.0
1.0,3200.0,1600.0,108268300.0,1600.0
1.0,3200.0,1600.0,108271940.0,1600.0
1.0,3200.0,1600.0,108280760.0,1600.0
0.0,3200.0,1600.0,108283140.0,1600.0
0.0,3200.0,1600.0,108283280.0,1600.0
1.0,3200.0,1600.0,108285800.0,1600.0
1.0,3200.0,1600.0,108285940.0,1600.0
0.0,3200.0,1600.0,108286220.0,1600.0
1.0,3200.0,1600.0,108290000.0,1600.0
0.0,3200.0,1600.0,108298540.0,1600.0
1.0,3200.0,1600.0,108301060.0,1600.0
1.0,3200.0,1600.0,108304560.0,1600.0
0.0,3200.0,1600.0,108308480.0,1600.0
0.0,3200.0,1600.0,108313100.0,1600.0
0.0,3200.0,1600.0,108313380.0,1600.0
0.0,3200.0,1600.0,108314780.0,1600.0
0.0,3200.0,1600.0,108319400.0,1600.0
1.0,3200.0,1600.0,108320940.0,1600.0
0.0,3200.0,1600.0,108333960.0,1600.0
1.0,3200.0,1600.0,108338440.0,1600.0
1.0,3200.0,1600.0,108338720.0,1600.0
0.0,3200.0,1600.0,108345720.0,1600.0
0.0,3200.0,1600.0,108347680.0,1600.0
0.0,3200.0,1600.0,108349780.0,1600.0
1.0,3200.0,1600.0,108350900.0,1600.0
1.0,3200.0,1600.0,108351600.0,1600.0
1.0,3200.0,1600.0,108359020.0,1600.0
1.0,3200.0,1600.0,108359300.0,1600.0
0.0,3200.0,1600.0,108361680.0,1600.0
0.0,3200.0,1600.0,108362940.0,1600.0
0.0,3200.0,1600.0,108365180.0,1600.0
1.0,3200.0,1600.0,108365600.0,1600.0
1.0,3200.0,1600.0,108365880.0,1600.0
1.0,3200.0,1600.0,108367560.0,1600.0
0.0,3200.0,1600.0,108375540.0,1600.0
1.0,3200.0,1600.0,108377640.0,1600.0
0.0,3200.0,1600.0,108377920.0,1600.0
1.0,3200.0,1600.0,108382680.0,1600.0
1.0,3200.0,1600.0,108383240.0,1600.0
1.0,3200.0,1600.0,108387020.0,1600.0
1.0,3200.0,1600.0,108390240.0,1600.0
0.0,3200.0,1600.0,108394440.0,1600.0
1.0,3200.0,1600.0,108401580.0,1600.0
0.0,3200.0,1600.0,108402840.0,1600.0
0.0,3200.0,1600.0,108405220.0,1600.0
1.0,3200.0,1600.0,108411240.0,1600.0
0.0,3200.0,1600.0,108417260.0,1600.0
1.0,3200.0,1600.0,108419080.0,1600.0
0.0,3200.0,1600.0,108421180.0,1600.0
1.0,3200.0,1600.0,108421880.0,1600.0
0.0,3200.0,1600.0,108424680.0,1600.0
0.0,3200.0,1600.0,108424820.0,1600.0
1.0,3200.0,1600.0,108427060.0,1600.0
0.0,3200.0,1600.0,108431540.0,1600.0
0.0,3200.0,1600.0,108438680.0,1600.0
0.0,3200.0,1600.0,108444700.0,1600.0
1.0,3200.0,1600.0,108445540.0,1600.0
1.0,3200.0,1600.0,108446100.0,1600.0
1.0,3200.0,1600.0,108447220.0,1600.0
0.0,3200.0,1600.0,108449040.0,1600.0
1.0,3200.0,1600.0,108453100.0,1600.0
0.0,3200.0,1600.0,108454080.0,1600.0
1.0,3200.0,1600.0,108455340.0,1600.0
0.0,3200.0,1600.0,108458840.0,1600.0
1.0,3200.0,1600.0,108462620.0,1600.0
1.0,3200.0,1600.0,108464300.0,1600.0
1.0,3200.0,1600.0,108464860.0,1600.0
0.0,3200.0,1600.0,108470880.0,1600.0
1.0,3200.0,1600.0,108480960.0,1600.0
0.0,3200.0,1600.0,108481520.0,1600.0
1.0,3200.0,1600.0,108483340.0,1600.0
0.0,3200.0,1600.0,108486140.0,1600.0
1.0,3200.0,1600.0,108488380.0,1600.0
0.0,3200.0,1600.0,108498880.0,1600.0
0.0,3200.0,1600.0,108499720.0,1600.0
1.0,3200.0,1600.0,108502940.0,1600.0
0.0,3200.0,1600.0,108506440.0,1600.0
1.0,3200.0,1600.0,108511760.0,1600.0
0.0,3200.0,1600.0,108513860.0,1600.0
0.0,3200.0,1600.0,108514700.0,1600.0
0.0,3200.0,1600.0,108522260.0,1600.0
0.0,3200.0,1600.0,108522820.0,1600.0
0.0,3200.0,1600.0,108524640.0,1600.0
1.0,3200.0,1600.0,108531640.0,1600.0
1.0,3200.0,1600.0,108532340.0,1600.0
0.0,3200.0,1600.0,108533880.0,1600.0
1.0,3200.0,1600.0,108534440.0,1600.0
0.0,3200.0,1600.0,108536400.0,1600.0
0.0,3200.0,1600.0,108538360.0,1600.0
0.0,3200.0,1600.0,108547040.0,1600.0
0.0,3200.0,1600.0,108547880.0,1600.0
1.0,3200.0,1600.0,108555580.0,1600.0
0.0,3200.0,1600.0,108562020.0,1600.0
0.0,3200.0,1600.0,108564400.0,1600.0
0.0,3200.0,1600.0,108569860.0,1600.0
0.0,3200.0,1600.0,108571960.0,1600.0
1.0,3200.0,1600.0,108575180.0,1600.0
1.0,3200.0,1600.0,108580780.0,1600.0
0.0,3200.0,1600.0,108584700.0,1600.0
0.0,3200.0,1600.0,108594640.0,1600.0
0.0,3200.0,1600.0,108595760.0,1600.0
1.0,3200.0,1600.0,108598140.0,1600.0
1.0,3200.0,1600.0,108599960.0,1600.0
1.0,3200.0,1600.0,108606680.0,1600.0
0.0,3200.0,1600.0,108610880.0,1600.0
1.0,3200.0,1600.0,108614940.0,1600.0
0.0,3200.0,1600.0,108619000.0,1600.0
0.0,3200.0,1600.0,108619140.0,1600.0
0.0,3200.0,1600.0,108621660.0,1600.0
1.0,3200.0,1600.0,108621940.0,1600.0
0.0,3200.0,1600.0,108624180.0,1600.0
0.0,3200.0,1600.0,108627960.0,1600.0
1.0,3200.0,1600.0,108635940.0,1600.0
1.0,3200.0,1600.0,108643080.0,1600.0
1.0,3200.0,1600.0,108643640.0,1600.0
0.0,3200.0,1600.0,108658200.0,1600.0
1.0,3200.0,1600.0,108660160.0,1600.0
0.0,3200.0,1600.0,108662540.0,1600.0
1.0,3200.0,1600.0,108664500.0,1600.0
1.0,3200.0,1600.0,108669820.0,1600.0
1.0,3200.0,1600.0,108670660.0,1600.0
1.0,3200.0,1600.0,108671220.0,1600.0
1.0,3200.0,1600.0,108674300.0,1600.0
1.0,3200.0,1600.0,108674440.0,1600.0
1.0,3200.0,1600.0,108678640.0,1600.0
1.0,3200.0,1600.0,108680460.0,1600.0
1.0,3200.0,1600.0,108684240.0,1600.0
1.0,3200.0,1600.0,108690120.0,1600.0
0.0,3200.0,1600.0,108695860.0,1600.0
1.0,3200.0,1600.0,108696140.0,1600.0
1.0,3200.0,1600.0,108699360.0,1600.0
0.0,3200.0,1600.0,108700200.0,1600.0
1.0,3200.0,1600.0,108701880.0,1600.0
0.0,3200.0,1600.0,108711400.0,1600.0
1.0,3200.0,1600.0,108712520.0,1600.0
1.0,3200.0,1600.0,108713640.0,1600.0
0.0,3200.0,1600.0,108718680.0,1600.0
0.0,3200.0,1600.0,108719800.0,1600.0
1.0,3200.0,1600.0,108719940.0,1600.0
0.0,3200.0,1600.0,108733100.0,1600.0
1.0,3200.0,1600.0,108738700.0,1600.0
1.0,3200.0,1600.0,108740380.0,1600.0
1.0,3200.0,1600.0,108741080.0,1600.0
0.0,3200.0,1600.0,108741640.0,1600.0
0.0,3200.0,1600.0,108742620.0,1600.0
0.0,3200.0,1600.0,108743040.0,1600.0
1.0,3200.0,1600.0,108746400.0,1600.0
0.0,3200.0,1600.0,108751580.0,1600.0
1.0,3200.0,1600.0,108756060.0,1600.0
0.0,3200.0,1600.0,108759280.0,1600.0
1.0,3200.0,1600.0,108762220.0,1600.0
0.0,3200.0,1600.0,108763480.0,1600.0
1.0,3200.0,1600.0,108763900.0,1600.0
0.0,3200.0,1600.0,108766420.0,1600.0
1.0,3200.0,1600.0,108769360.0,1600.0
1.0,3200.0,1600.0,108773280.0,1600.0
1.0,3200.0,1600.0,108773980.0,1600.0
1.0,3200.0,1600.0,108780280.0,1600.0
0.0,3200.0,1600.0,108782940.0,1600.0
0.0,3200.0,1600.0,108784200.0,1600.0
0.0,3200.0,1600.0,108786720.0,1600.0
1.0,3200.0,1600.0,108789660.0,1600.0
0.0,3200.0,1600.0,108791480.0,1600.0
1.0,3200.0,1600.0,108793020.0,1600.0
0.0,3200.0,1600.0,108794980.0,1600.0
0.0,3200.0,1600.0,108796660.0,1600.0
0.0,3200.0,1600.0,108796940.0,1600.0
0.0,3200.0,1600.0,108797920.0,1600.0
0.0,3200.0,1600.0,108801560.0,1600.0
1.0,3200.0,1600.0,108805760.0,1600.0
0.0,3200.0,1600.0,108815140.0,1600.0
1.0,3200.0,1600.0,108824240.0,1600.0
1.0,3200.0,1600.0,108826340.0,1600.0
1.0,3200.0,1600.0,108829840.0,1600.0
1.0,3200.0,1600.0,108832920.0,1600.0
1.0,3200.0,1600.0,108833480.0,1600.0
0.0,3200.0,1600.0,108834880.0,1600.0
