context,mean_arrival_time,mean_service_time,sent_time,service_time
1.0,2000.0,1600.0,108264660.0,1600.0
0.0,2000.0,1600.0,108265080.0,1600.0
1.0,2000.0,1600.0,108266340.0,1600.0
1.0,2000.0,1600.0,108266900.0,1600.0
1.0,2000.0,1600.0,108269280.0,1600.0
1.0,2000.0,1600.0,108274740.0,1600.0
0.0,2000.0,1600.0,108276280.0,1600.0
0.0,2000.0,1600.0,108276420.0,1600.0
1.0,2000.0,1600.0,108277960.0,1600.0
1.0,2000.0,1600.0,108278100.0,1600.0
0.0,2000.0,1600.0,108278240.0,1600.0
1.0,2000.0,1600.0,108280620.0,1600.0
0.0,2000.0,1600.0,108286080.0,1600.0
1.0,2000.0,1600.0,108287620.0,1600.0
1.0,2000.0,1600.0,108289860.0,1600.0
0.0,2000.0,1600.0,108292380.0,1600.0
0.0,2000.0,1600.0,108295320.0,1600.0
0.0,2000.0,1600.0,108295460.0,1600.0
0.0,2000.0,1600.0,108296300.0,1600.0
0.0,2000.0,1600.0,108299240.0,1600.0
1.0,2000.0,1600.0,108300220.0,1600.0
0.0,2000.0,1600.0,108308340.0,1600.0
1.0,2000.0,1600.0,108311140.0,1600.0
1.0,2000.0,1600.0,108311420.0,1600.0
0.0,2000.0,1600.0,108315760.0,1600.0
0.0,2000.0,1600.0,108317020.0,1600.0
0.0,2000.0,1600.0,108318420.0,1600.0
1.0,2000.0,1600.0,108319120.0,1600.0
1.0,2000.0,1600.0,108319540.0,1600.0
1.0,2000.0,1600.0,108324160.0,1600.0
1.0,2000.0,1600.0,108324300.0,1600.0
0.0,2000.0,1600.0,108325840.0,1600.0
0.0,2000.0,1600.0,108326680.0,1600.0
0.0,2000.0,1600.0,108328080.0,1600.0
1.0,2000.0,1600.0,108328360.0,1600.0
1.0,2000.0,1600.0,108328640.0,1600.0
1.0,2000.0,1600.0,108329620.0,1600.0
0.0,2000.0,1600.0,108334660.0,1600.0
1.0,2000.0,1600.0,108335920.0,1600.0
0.0,2000.0,1600.0,108336060.0,1600.0
1.0,2000.0,1600.0,108339140.0,1600.0
1.0,2000.0,1600.0,108339420.0,1600.0
1.0,2000.0,1600.0,108341800.0,1600.0
1.0,2000.0,1600.0,108343900.0,1600.0
0.0,2000.0,1600.0,108346560.0,1600.0
1.0,2000.0,1600.0,108351040.0,1600.0
0.0,2000.0,1600.0,108351880.0,1600.0
0.0,2000.0,1600.0,108353420.0,1600.0
1.0,2000.0,1600.0,108357200.0,1600.0
0.0,2000.0,1600.0,108360980.0,1600.0
1.0,2000.0,1600.0,108362100.0,1600.0
0.0,2000.0,1600.0,108363500.0,1600.0
1.0,2000.0,1600.0,108363920.0,1600.0
0.0,2000.0,1600.0,108365740.0,1600.0
0.0,2000.0,1600.0,108365880.0,1600.0
1.0,2000.0,1600.0,108367280.0,1600.0
0.0,2000.0,1600.0,108370080.0,1600.0
0.0,2000.0,1600.0,108374560.0,1600.0
0.0,2000.0,1600.0,108378340.0,1600.0
1.0,2000.0,1600.0,108378900.0,1600.0
1.0,2000.0,1600.0,108379180.0,1600.0
1.0,2000.0,1600.0,108379880.0,1600.0
0.0,2000.0,1600.0,108381000.0,1600.0
1.0,2000.0,1600.0,108383520.0,1600.0
0.0,2000.0,1600.0,108384080.0,1600.0
1.0,2000.0,1600.0,108384920.0,1600.0
0.0,2000.0,1600.0,108387160.0,1600.0
1.0,2000.0,1600.0,108389540.0,1600.0
1.0,2000.0,1600.0,108390660.0,1600.0
1.0,2000.0,1600.0,108391080.0,1600.0
0.0,2000.0,1600.0,108394860.0,1600.0
1.0,2000.0,1600.0,108401160.0,1600.0
0.0,2000.0,1600.0,108401580.0,1600.0
1.0,2000.0,1600.0,108402700.0,1600.0
0.0,2000.0,1600.0,108404380.0,1600.0
1.0,2000.0,1600.0,108405780.0,1600.0
0.0,2000.0,1600.0,108412360.0,1600.0
0.0,2000.0,1600.0,108412920.0,1600.0
1.0,2000.0,1600.0,108415020.0,1600.0
0.0,2000.0,1600.0,108417260.0,1600.0
1.0,2000.0,1600.0,108420620.0,1600.0
0.0,2000.0,1600.0,108422020.0,1600.0
0.0,2000.0,1600.0,108422580.0,1600.0
0.0,2000.0,1600.0,108427340.0,1600.0
0.0,2000.0,1600.0,108427760.0,1600.0
0.0,2000.0,1600.0,108428880.0,1600.0
1.0,2000.0,1600.0,108433220.0,1600.0
1.0,2000.0,1600.0,108433640.0,1600.0
0.0,2000.0,1600.0,108434620.0,1600.0
1.0,2000.0,1600.0,108435040.0,1600.0
0.0,2000.0,1600.0,108436300.0,1600.0
0.0,2000.0,1600.0,108437560.0,1600.0
0.0,2000.0,1600.0,108443020.0,1600.0
0.0,2000.0,1600.0,108443580.0,1600.0
1.0,2000.0,1600.0,108448480.0,1600.0
0.0,2000.0,1600.0,108452540.0,1600.0
0.0,2000.0,1600.0,108454080.0,1600.0
0.0,2000.0,1600.0,108457580.0,1600.0
0.0,2000.0,1600.0,108458840.0,1600.0
1.0,2000.0,1600.0,108460940.0,1600.0
1.0,2000.0,1600.0,108464440.0,1600.0
0.0,2000.0,1600.0,108466960.0,1600.0
0.0,2000.0,1600.0,108473260.0,1600.0
0.0,2000.0,1600.0,108473960.0,1600.0
1.0,2000.0,1600.0,108475500.0,1600.0
1.0,2000.0,1600.0,108476620.0,1600.0
1.0,2000.0,1600.0,108480820.0,1600.0
0.0,2000.0,1600.0,108483480.0,1600.0
1.0,2000.0,1600.0,108486000.0,1600.0
0.0,2000.0,1600.0,108488520.0,1600.0
0.0,2000.0,1600.0,108488660.0,1600.0
0.0,2000.0,1600.0,108490200.0,1600.0
1.0,2000.0,1600.0,108490340.0,1600.0
0.0,2000.0,1600.0,108491740.0,1600.0
0.0,2000.0,1600.0,108494120.0,1600.0
1.0,2000.0,1600.0,108499160.0,1600.0
1.0,2000.0,1600.0,108503640.0,1600.0
1.0,2000.0,1600.0,108504060.0,1600.0
0.0,2000.0,1600.0,108513160.0,1600.0
1.0,2000.0,1600.0,108514420.0,1600.0
0.0,2000.0,1600.0,108515960.0,1600.0
1.0,2000.0,1600.0,108517220.0,1600.0
1.0,2000.0,1600.0,108520580.0,1600.0
1.0,2000.0,1600.0,108521140.0,1600.0
1.0,2000.0,1600.0,108521560.0,1600.0
1.0,2000.0,1600.0,108523520.0,1600.0
1.0,2000.0,1600.0,108523660.0,1600.0
1.0,2000.0,1600.0,108526320.0,1600.0
1.0,2000.0,1600.0,108527440.0,1600.0
1.0,2000.0,1600.0,108529820.0,1600.0
1.0,2000.0,1600.0,108533460.0,1600.0
0.0,2000.0,1600.0,108537100.0,1600.0
1.0,2000.0,1600.0,108537380.0,1600.0
1.0,2000.0,1600.0,108539480.0,1600.0
0.0,2000.0,1600.0,108540040.0,1600.0
1.0,2000.0,1600.0,108541160.0,1600.0
0.0,2000.0,1600.0,108547180.0,1600.0
1.0,2000.0,1600.0,108547880.0,1600.0
1.0,2000.0,1600.0,108548580.0,1600.0
0.0,2000.0,1600.0,108551660.0,1600.0
0.0,2000.0,1600.0,108552360.0,1600.0
1.0,2000.0,1600.0,108552500.0,1600.0
0.0,2000.0,1600.0,108560760.0,1600.0
1.0,2000.0,1600.0,108564260.0,1600.0
1.0,2000.0,1600.0,108565380.0,1600.0
1.0,2000.0,1600.0,108565800.0,1600.0
0.0,2000.0,1600.0,108566220.0,1600.0
0.0,2000.0,1600.0,108566920.0,1600.0
0.0,2000.0,1600.0,108567200.0,1600.0
1.0,2000.0,1600.0,108569300.0,1600.0
0.0,2000.0,1600.0,108572520.0,1600.0
1.0,2000.0,1600.0,108575320.0,1600.0
0.0,2000.0,1600.0,108577420.0,1600.0
1.0,2000.0,1600.0,108579380.0,1600.0
0.0,2000.0,1600.0,108580220.0,1600.0
1.0,2000.0,1600.0,108580500.0,1600.0
0.0,2000.0,1600.0,108582040.0,1600.0
1.0,2000.0,1600.0,108583860.0,1600.0
1.0,2000.0,1600.0,108586380.0,1600.0
1.0,2000.0,1600.0,108586800.0,1600.0
1.0,2000.0,1600.0,108590860.0,1600.0
0.0,2000.0,1600.0,108592540.0,1600.0
0.0,2000.0,1600.0,108593380.0,1600.0
0.0,2000.0,1600.0,108594920.0,1600.0
1.0,2000.0,1600.0,108596740.0,1600.0
0.0,2000.0,1600.0,108598000.0,1600.0
1.0,2000.0,1600.0,108598980.0,1600.0
0.0,2000.0,1600.0,108600240.0,1600.0
0.0,2000.0,1600.0,108601360.0,1600.0
0.0,2000.0,1600.0,108601640.0,1600.0
0.0,2000.0,1600.0,108602340.0,1600.0
0.0,2000.0,1600.0,108604720.0,1600.0
1.0,2000.0,1600.0,108607380.0,1600.0
0.0,2000.0,1600.0,108613260.0,1600.0
1.0,2000.0,1600.0,108619000.0,1600.0
1.0,2000.0,1600.0,108620260.0,1600.0
1.0,2000.0,1600.0,108622500.0,1600.0
1.0,2000.0,1600.0,108624460.0,1600.0
1.0,2000.0,1600.0,108624880.0,1600.0
0.0,2000.0,1600.0,108625860.0,1600.0
0.0,2000.0,1600.0,108627400.0,1600.0
1.0,2000.0,1600.0,108627540.0,1600.0
1.0,2000.0,1600.0,108629640.0,1600.0
0.0,2000.0,1600.0,108634680.0,1600.0
1.0,2000.0,1600.0,108641820.0,1600.0
1.0,2000.0,1600.0,108645600.0,1600.0
0.0,2000.0,1600.0,108646860.0,1600.0
1.0,2000.0,1600.0,108647000.0,1600.0
0.0,2000.0,1600.0,108649520.0,1600.0
1.0,2000.0,1600.0,108650780.0,1600.0
1.0,2000.0,1600.0,108653580.0,1600.0
1.0,2000.0,1600.0,108655960.0,1600.0
1.0,2000.0,1600.0,108658900.0,1600.0
1.0,2000.0,1600.0,108659040.0,1600.0
0.0,2000.0,1600.0,108659320.0,1600.0
0.0,2000.0,1600.0,108664080.0,1600.0
1.0,2000.0,1600.0,108666880.0,1600.0
1.0,2000.0,1600.0,108667020.0,1600.0
0.0,2000.0,1600.0,108668560.0,1600.0
1.0,2000.0,1600.0,108670240.0,1600.0
0.0,2000.0,1600.0,108670800.0,1600.0
0.0,2000.0,1600.0,108672900.0,1600.0
1.0,2000.0,1600.0,108675420.0,1600.0
1.0,2000.0,1600.0,108676120.0,1600.0
1.0,2000.0,1600.0,108677100.0,1600.0
0.0,2000.0,1600.0,108677940.0,1600.0
0.0,2000.0,1600.0,108678220.0,1600.0
0.0,2000.0,1600.0,108681300.0,1600.0
0.0,2000.0,1600.0,108681440.0,1600.0
0.0,2000.0,1600.0,108681860.0,1600.0
0.0,2000.0,1600.0,108682700.0,1600.0
0.0,2000.0,1600.0,108684100.0,1600.0
1.0,2000.0,1600.0,108685640.0,1600.0
1.0,2000.0,1600.0,108686060.0,1600.0
1.0,2000.0,1600.0,108689700.0,1600.0
0.0,2000.0,1600.0,108691520.0,1600.0
0.0,2000.0,1600.0,108692360.0,1600.0
1.0,2000.0,1600.0,108701040.0,1600.0
0.0,2000.0,1600.0,108701180.0,1600.0
1.0,2000.0,1600.0,108701320.0,1600.0
0.0,2000.0,1600.0,108702720.0,1600.0
1.0,2000.0,1600.0,108705520.0,1600.0
0.0,2000.0,1600.0,108707060.0,1600.0
1.0,2000.0,1600.0,108707340.0,1600.0
0.0,2000.0,1600.0,108707760.0,1600.0
0.0,2000.0,1600.0,108709720.0,1600.0
1.0,2000.0,1600.0,108710000.0,1600.0
1.0,2000.0,1600.0,108716160.0,1600.0
0.0,2000.0,1600.0,108719940.0,1600.0
