context,mean_arrival_time,mean_service_time,sent_time,service_time
1.0,3200.0,1600.0,108264660.0,1600.0
0.0,3200.0,1600.0,108265220.0,1600.0
1.0,3200.0,1600.0,108267320.0,1600.0
1.0,3200.0,1600.0,108268160.0,1600.0
1.0,3200.0,1600.0,108271800.0,1600.0
1.0,3200.0,1600.0,108280620.0,1600.0
0.0,3200.0,1600.0,108283000.0,1600.0
0.0,3200.0,1600.0,108283140.0,1600.0
1.0,3200.0,1600.0,108285660.0,1600.0
1.0,3200.0,1600.0,108285800.0,1600.0
0.0,3200.0,1600.0,108286080.0,1600.0
1.0,3200.0,1600.0,108289860.0,1600.0
0.0,3200.0,1600.0,108298400.0,1600.0
1.0,3200.0,1600.0,108300920.0,1600.0
1.0,3200.0,1600.0,108304420.0,1600.0
0.0,3200.0,1600.0,108308340.0,1600.0
0.0,3200.0,1600.0,108312960.0,1600.0
0.0,3200.0,1600.0,108313240.0,1600.0
0.0,3200.0,1600.0,108314640.0,1600.0
0.0,3200.0,1600.0,108319260.0,1600.0
1.0,3200.0,1600.0,108320800.0,1600.0
0.0,3200.0,1600.0,108333820.0,1600.0
1.0,3200.0,1600.0,108338300.0,1600.0
1.0,3200.0,1600.0,108338580.0,1600.0
0.0,3200.0,1600.0,108345580.0,1600.0
0.0,3200.0,1600.0,108347540.0,1600.0
0.0,3200.0,1600.0,108349640.0,1600.0
1.0,3200.0,1600.0,108350760.0,1600.0
1.0,3200.0,1600.0,108351460.0,1600.0
1.0,3200.0,1600.0,108358880.0,1600.0
1.0,3200.0,1600.0,108359160.0,1600.0
0.0,3200.0,1600.0,108361540.0,1600.0
0.0,3200.0,1600.0,108362800.0,1600.0
0.0,3200.0,1600.0,108365040.0,1600.0
1.0,3200.0,1600.0,108365460.0,1600.0
1.0,3200.0,1600.0,108365740.0,1600.0
1.0,3200.0,1600.0,108367420.0,1600.0
0.0,3200.0,1600.0,108375400.0,1600.0
1.0,3200.0,1600.0,108377500.0,1600.0
0.0,3200.0,1600.0,108377780.0,1600.0
1.0,3200.0,1600.0,108382540.0,1600.0
1.0,3200.0,1600.0,108383100.0,1600.0
1.0,3200.0,1600.0,108386880.0,1600.0
1.0,3200.0,1600.0,108390100.0,1600.0
0.0,3200.0,1600.0,108394300.0,1600.0
1.0,3200.0,1600.0,108401440.0,1600.0
0.0,3200.0,1600.0,108402700.0,1600.0
0.0,3200.0,1600.0,108405080.0,1600.0
1.0,3200.0,1600.0,108411100.0,1600.0
0.0,3200.0,1600.0,108417120.0,1600.0
1.0,3200.0,1600.0,108418940.0,1600.0
0.0,3200.0,1600.0,108421040.0,1600.0
1.0,3200.0,1600.0,108421740.0,1600.0
0.0,3200.0,1600.0,108424540.0,1600.0
0.0,3200.0,1600.0,108424680.0,1600.0
1.0,3200.0,1600.0,108426920.0,1600.0
0.0,3200.0,1600.0,108431400.0,1600.0
