context,mean_arrival_time,mean_service_time,sent_time,service_time
1.0,1600.0,1600.0,108264660.0,1600.0
0.0,1600.0,1600.0,108264940.0,1600.0
1.0,1600.0,1600.0,108266060.0,1600.0
1.0,1600.0,1600.0,108266480.0,1600.0
1.0,1600.0,1600.0,108268300.0,1600.0
1.0,1600.0,1600.0,108272780.0,1600.0
0.0,1600.0,1600.0,108274040.0,1600.0
0.0,1600.0,1600.0,108274180.0,1600.0
1.0,1600.0,1600.0,108275440.0,1600.0
1.0,1600.0,1600.0,108275580.0,1600.0
0.0,1600.0,1600.0,108275720.0,1600.0
1.0,1600.0,1600.0,108277680.0,1600.0
0.0,1600.0,1600.0,108282020.0,1600.0
1.0,1600.0,1600.0,108283280.0,1600.0
1.0,1600.0,1600.0,108285100.0,1600.0
0.0,1600.0,1600.0,108287060.0,1600.0
0.0,1600.0,1600.0,108289440.0,1600.0
0.0,1600.0,1600.0,108289580.0,1600.0
0.0,1600.0,1600.0,108290280.0,1600.0
0.0,1600.0,1600.0,108292660.0,1600.0
1.0,1600.0,1600.0,108293500.0,1600.0
0.0,1600.0,1600.0,108300080.0,1600.0
1.0,1600.0,1600.0,108302320.0,1600.0
1.0,1600.0,1600.0,108302460.0,1600.0
0.0,1600.0,1600.0,108305960.0,1600.0
0.0,1600.0,1600.0,108306940.0,1600.0
0.0,1600.0,1600.0,108308060.0,1600.0
1.0,1600.0,1600.0,108308620.0,1600.0
1.0,1600.0,1600.0,108309040.0,1600.0
1.0,1600.0,1600.0,108312820.0,1600.0
1.0,1600.0,1600.0,108312960.0,1600.0
0.0,1600.0,1600.0,108314220.0,1600.0
0.0,1600.0,1600.0,108314920.0,1600.0
0.0,1600.0,1600.0,108316040.0,1600.0
1.0,1600.0,1600.0,108316320.0,1600.0
1.0,1600.0,1600.0,108316460.0,1600.0
1.0,1600.0,1600.0,108317300.0,1600.0
0.0,1600.0,1600.0,108321360.0,1600.0
1.0,1600.0,1600.0,108322480.0,1600.0
0.0,1600.0,1600.0,108322620.0,1600.0
1.0,1600.0,1600.0,108325000.0,1600.0
1.0,1600.0,1600.0,108325280.0,1600.0
1.0,1600.0,1600.0,108327240.0,1600.0
1.0,1600.0,1600.0,108328920.0,1600.0
0.0,1600.0,1600.0,108331020.0,1600.0
1.0,1600.0,1600.0,108334660.0,1600.0
