context,mean_arrival_time,mean_service_time,sent_time,service_time
1.0,3200.0,1600.0,144374720.0,1600.0
0.0,3200.0,1600.0,144375280.0,1600.0
1.0,3200.0,1600.0,144377380.0,1600.0
1.0,3200.0,1600.0,144378220.0,1600.0
1.0,3200.0,1600.0,144381860.0,1600.0
1.0,3200.0,1600.0,144390680.0,1600.0
0.0,3200.0,1600.0,144393060.0,1600.0
0.0,3200.0,1600.0,144393200.0,1600.0
1.0,3200.0,1600.0,144395720.0,1600.0
1.0,3200.0,1600.0,144395860.0,1600.0
0.0,3200.0,1600.0,144396140.0,1600.0
1.0,3200.0,1600.0,144399920.0,1600.0
0.0,3200.0,1600.0,144408460.0,1600.0
1.0,3200.0,1600.0,144410980.0,1600.0
1.0,3200.0,1600.0,144414480.0,1600.0
0.0,3200.0,1600.0,144418400.0,1600.0
0.0,3200.0,1600.0,144423020.0,1600.0
0.0,3200.0,1600.0,144423300.0,1600.0
0.0,3200.0,1600.0,144424700.0,1600.0
0.0,3200.0,1600.0,144429320.0,1600.0
1.0,3200.0,1600.0,144430860.0,1600.0
0.0,3200.0,1600.0,144443880.0,1600.0
1.0,3200.0,1600.0,144448360.0,1600.0
1.0,3200.0,1600.0,144448640.0,1600.0
0.0,3200.0,1600.0,144455640.0,1600.0
0.0,3200.0,1600.0,144457600.0,1600.0
0.0,3200.0,1600.0,144459700.0,1600.0
1.0,3200.0,1600.0,144460820.0,1600.0
1.0,3200.0,1600.0,144461520.0,1600.0
1.0,3200.0,1600.0,144468940.0,1600.0
1.0,3200.0,1600.0,144469220.0,1600.0
0.0,3200.0,1600.0,144471600.0,1600.0
0.0,3200.0,1600.0,144472860.0,1600.0
0.0,3200.0,1600.0,144475100.0,1600.0
1.0,3200.0,1600.0,144475520.0,1600.0
1.0,3200.0,1600.0,144475800.0,1600.0
1.0,3200.0,1600.0,144477480.0,1600.0
0.0,3200.0,1600.0,144485460.0,1600.0
1.0,3200.0,1600.0,144487560.0,1600.0
0.0,3200.0,1600.0,144487840.0,1600.0
1.0,3200.0,1600.0,144492600.0,1600.0
1.0,3200.0,1600.0,144493160.0,1600.0
1.0,3200.0,1600.0,144496940.0,1600.0
1.0,3200.0,1600.0,144500160.0,1600.0
0.0,3200.0,1600.0,144504360.0,1600.0
1.0,3200.0,1600.0,144511500.0,1600.0
0.0,3200.0,1600.0,144512760.0,1600.0
0.0,3200.0,1600.0,144515140.0,1600.0
1.0,3200.0,1600.0,144521160.0,1600.0
0.0,3200.0,1600.0,144527180.0,1600.0
1.0,3200.0,1600.0,144529000.0,1600.0
0.0,3200.0,1600.0,144531100.0,1600.0
1.0,3200.0,1600.0,144531800.0,1600.0
0.0,3200.0,1600.0,144534600.0,1600.0
0.0,3200.0,1600.0,144534740.0,1600.0
1.0,3200.0,1600.0,144536980.0,1600.0
0.0,3200.0,1600.0,144541460.0,1600.0
0.0,3200.0,1600.0,144548600.0,1600.0
0.0,3200.0,1600.0,144554620.0,1600.0
1.0,3200.0,1600.0,144555460.0,1600.0
1.0,3200.0,1600.0,144556020.0,1600.0
1.0,3200.0,1600.0,144557140.0,1600.0
0.0,3200.0,1600.0,144558960.0,1600.0
1.0,3200.0,1600.0,144563020.0,1600.0
0.0,3200.0,1600.0,144564000.0,1600.0
1.0,3200.0,1600.0,144565260.0,1600.0
0.0,3200.0,1600.0,144568760.0,1600.0
1.0,3200.0,1600.0,144572540.0,1600.0
1.0,3200.0,1600.0,144574220.0,1600.0
1.0,3200.0,1600.0,144574780.0,1600.0
0.0,3200.0,1600.0,144580800.0,1600.0
1.0,3200.0,1600.0,144590880.0,1600.0
0.0,3200.0,1600.0,144591440.0,1600.0
1.0,3200.0,1600.0,144593260.0,1600.0
0.0,3200.0,1600.0,144596060.0,1600.0
1.0,3200.0,1600.0,144598300.0,1600.0
0.0,3200.0,1600.0,144608800.0,1600.0
0.0,3200.0,1600.0,144609640.0,1600.0
1.0,3200.0,1600.0,144612860.0,1600.0
0.0,3200.0,1600.0,144616360.0,1600.0
1.0,3200.0,1600.0,144621680.0,1600.0
0.0,3200.0,1600.0,144623780.0,1600.0
0.0,3200.0,1600.0,144624620.0,1600.0
0.0,3200.0,1600.0,144632180.0,1600.0
0.0,3200.0,1600.0,144632740.0,1600.0
0.0,3200.0,1600.0,144634560.0,1600.0
1.0,3200.0,1600.0,144641560.0,1600.0
1.0,3200.0,1600.0,144642260.0,1600.0
0.0,3200.0,1600.0,144643800.0,1600.0
1.0,3200.0,1600.0,144644360.0,1600.0
0.0,3200.0,1600.0,144646320.0,1600.0
0.0,3200.0,1600.0,144648280.0,1600.0
0.0,3200.0,1600.0,144656960.0,1600.0
0.0,3200.0,1600.0,144657800.0,1600.0
1.0,3200.0,1600.0,144665500.0,1600.0
0.0,3200.0,1600.0,144671940.0,1600.0
0.0,3200.0,1600.0,144674320.0,1600.0
0.0,3200.0,1600.0,144679780.0,1600.0
0.0,3200.0,1600.0,144681880.0,1600.0
1.0,3200.0,1600.0,144685100.0,1600.0
1.0,3200.0,1600.0,144690700.0,1600.0
0.0,3200.0,1600.0,144694620.0,1600.0
0.0,3200.0,1600.0,144704560.0,1600.0
0.0,3200.0,1600.0,144705680.0,1600.0
1.0,3200.0,1600.0,144708060.0,1600.0
1.0,3200.0,1600.0,144709880.0,1600.0
1.0,3200.0,1600.0,144716600.0,1600.0
0.0,3200.0,1600.0,144720800.0,1600.0
1.0,3200.0,1600.0,144724860.0,1600.0
0.0,3200.0,1600.0,144728920.0,1600.0
0.0,3200.0,1600.0,144729060.0,1600.0
0.0,3200.0,1600.0,144731580.0,1600.0
1.0,3200.0,1600.0,144731860.0,1600.0
0.0,3200.0,1600.0,144734100.0,1600.0
0.0,3200.0,1600.0,144737880.0,1600.0
1.0,3200.0,1600.0,144745860.0,1600.0
1.0,3200.0,1600.0,144753000.0,1600.0
